name,category,score,tier,languages,size_mb
ai-pulse-dashboard,AI App Builders & No-Code,58,A,"JS/TS;HTML",1.4
ai-super-assistant-platform,Dashboards & Admin Panels,58,A,"Unknown",2.3
ai-synthesis-machine,AI App Builders & No-Code,58,A,"JS/TS;HTML",1.0
ai-tech-giga-dash,Analytics & Insights,58,A,"JS/TS;HTML",1.3
ai-text-stripper,AI App Builders & No-Code,58,A,"JS/TS;HTML",1.0
ai-tool-guardian-angel,AI App Builders & No-Code,58,A,"JS/TS;HTML",1.1
ai-toolkit-nexus-forge,Uncategorized,58,A,"JS/TS;HTML",1.3
ai-toolkit-nexus-forge-83,Uncategorized,58,A,"JS/TS;HTML",1.1
ai-trial-tracker,Uncategorized,58,A,"JS/TS",1.0
ai-usage-guardian-angel,AI App Builders & No-Code,58,A,"JS/TS;HTML",1.5
ai-usage-navigator,Uncategorized,58,A,"JS/TS;HTML",1.5
ai-vibe-hub,AI Applications,58,A,"JS/TS;HTML",1.3
ai-wisdom-vault,AI Applications,58,A,"JS/TS;HTML",1.5
ai-world-navigator,AI App Builders & No-Code,58,A,"JS/TS;HTML",1.4
aigenius-toolkit,Trading Bots & Crypto,58,A,"JS/TS;HTML",1.7
aitoolv0,Uncategorized,58,A,"JS/TS",0.8
allspark-dev-studio,Developer Tools,58,A,"JS/TS;HTML",1.1
arcana-craft,AI App Builders & No-Code,58,A,"JS/TS;HTML",1.2
artbot-crypto-verse,Trading Bots & Crypto,58,A,"JS/TS;HTML",0.9
artspark-gallery-verse,AI App Builders & No-Code,58,A,"JS/TS;HTML",1.3
artspark-nft-hub,Uncategorized,58,A,"JS/TS;HTML",1.4
aussie-burnout-legends,AI App Builders & No-Code,58,A,"JS/TS;HTML",2.3
aussie-burnout-legends-61,AI App Builders & No-Code,58,A,"JS/TS;HTML",2.7
aussie-earn,AI App Builders & No-Code,58,A,"JS/TS;HTML",0.9
auto-synth-ops,AI App Builders & No-Code,58,A,"JS/TS;HTML",1.0
automated-app-genesis,AI App Builders & No-Code,58,A,"JS/TS;HTML",0.8
avatra-content-hive,AI App Builders & No-Code,58,A,"JS/TS;HTML",0.7
awesome-claude-code-subagents,Developer Tools,58,A,"Unknown",0.9
